metric,value,step
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.3864959180355072,1.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.7487219572067261,2.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.8519664406776428,3.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.893122673034668,4.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.8888888955116272,5.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9061075448989868,6.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.911596953868866,7.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9192720651626587,8.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.92974454164505,9.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9247015714645386,10.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9096774458885193,11.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9166269898414612,12.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9217638969421387,13.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9271217584609985,14.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9219534397125244,15.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9230769276618958,16.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9257722496986389,17.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9235023260116577,18.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9259259104728699,19.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_auto_ssl_alpha_0.8_id_4_size_750,0.9264229536056519,20.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.0,1.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.0,2.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.8893527984619141,3.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9127972722053528,4.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9096916317939758,5.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9403669834136963,6.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9293849468231201,7.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.8962149024009705,8.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9346622228622437,9.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9386363625526428,10.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.936026930809021,11.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9351230263710022,12.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9363128542900085,13.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9367369413375854,14.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9364548325538635,15.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9342403411865234,16.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9330357313156128,17.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9331848621368408,18.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9331848621368408,19.0
em_DBLP-ACM-dirty_lm_roberta_da_None_alpha_0.8_id_1_size_450,0.9331848621368408,20.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,1.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,2.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,3.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,4.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,5.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,6.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,7.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,8.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,9.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,10.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,11.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,12.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.0,13.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.5016501545906067,14.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.5199999809265137,15.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.5095541477203369,16.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.575667679309845,17.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.5688073635101318,18.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.558282196521759,19.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_0_size_600,0.558282196521759,20.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,1.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,2.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,3.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,4.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,5.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,6.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,7.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,8.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,9.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,10.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,11.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,12.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,13.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,14.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,15.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,16.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,17.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,18.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,19.0
em_Abt-Buy_da_dm_id_0_size_600,0.0,20.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,1.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,2.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,3.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,4.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,5.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,6.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,7.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,8.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,9.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,10.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,11.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,12.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,13.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,14.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,15.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,16.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,17.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,18.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,19.0
em_Abt-Buy_lm_roberta_da_dacon_consistency_alpha_0.8_id_1_size_450,0.0,20.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,1.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,2.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,3.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,4.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,5.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,6.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,7.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,8.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,9.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,10.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,11.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,12.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,13.0
em_Abt-Buy_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_3_size_600,0.0,14.0
